name  		start  			end	centromere
chr1             1                 248956422        121535434
chr2             1                 242193529        92262340
chr3             1                 198295559        90000000
chr4             1                 190214555        50400000
chr5             1                 181538259        46800000
chr6             1                 170805979        59900000
chr7             1                 159345973        61100000
chr8             1                 145138636        44900000
chr9             1                 138394717        49000000
chr10            1                 133797422        41100000
chr11            1                 135086622        53000000
chr12            1                 133275309        35500000
chr13            1                 114364328        17800000
chr14            1                 107043718        24800000
chr15            1                 101991189        19000000
chr16            1                 90338345         36400000
chr17            1                 83257441         22000000
chr18            1                 80373285         14800000
chr19            1                 58617616         26300000
chr20            1                 64444167         18600000
chr21            1                 46709983         13400000
chr22            1                 50818468         12100000
chrX             1                 156040895        58000000
chrY             1                 57227415         10000000
